Timecode,BlendshapeCount,CheekSquintRight,EyeSquintRight,MouthDimpleRight,NoseSneerRight,MouthSmileRight,JawOpen,MouthUpperUpRight,BrowDownRight,CheekSquintLeft,EyeSquintLeft,MouthDimpleLeft,NoseSneerLeft,MouthSmileLeft,MouthUpperUpLeft,BrowDownLeft
02:50:02:04.162,61,0.563297297,0.279774605,0.113446107,0.293299705,0.848753234,0.092252809,0.3926056,0.396251794,0.563297297,0.279774605,0.113446107,0.293299705,0.848753234,0.3926056,0.396251794
02:50:02:05.164,61,0.565622941,0.280561748,0.113576279,0.293117141,0.849727988,0.092259942,0.395882542,0.397597914,0.565622941,0.280561748,0.113576279,0.293117141,0.849727988,0.395882542,0.397597914
02:50:02:06.166,61,0.562609519,0.281649316,0.115462708,0.301173754,0.850382378,0.092161024,0.401090195,0.399182007,0.562609519,0.281649316,0.115462708,0.301173754,0.850382378,0.401090195,0.399182007
02:50:02:07.167,61,0.56384856,0.281986256,0.116267836,0.307352545,0.850794832,0.092394362,0.403963968,0.399625535,0.56384856,0.281986256,0.116267836,0.307352545,0.850794832,0.403963968,0.399625535
02:50:02:08.169,61,0.56246837,0.281184139,0.116364181,0.307349212,0.851137857,0.092394737,0.404009496,0.399233172,0.56246837,0.281184139,0.116364181,0.307349212,0.851137857,0.404009496,0.399233172
02:50:02:09.170,61,0.563692972,0.281298965,0.116463779,0.30754072,0.851406942,0.092356437,0.403993132,0.399984911,0.563692972,0.281298965,0.116463779,0.30754072,0.851406942,0.403993132,0.399984911
02:50:02:10.172,61,0.563639671,0.291614503,0.118603685,0.31525371,0.852081249,0.094173673,0.407330294,0.407700953,0.563639671,0.291614503,0.118603685,0.31525371,0.852081249,0.407330294,0.407700953
02:50:02:11.174,61,0.563560704,0.294921674,0.119384898,0.320195022,0.852055301,0.094320915,0.408214817,0.412397315,0.563560704,0.294921674,0.119384898,0.320195022,0.852055301,0.408214817,0.412397315
02:50:02:12.175,61,0.564661841,0.294468348,0.119381048,0.320494297,0.852143248,0.09426869,0.409033527,0.411841646,0.564661841,0.294468348,0.119381048,0.320494297,0.852143248,0.409033527,0.411841646
02:50:02:13.177,61,0.564659705,0.295887783,0.119473565,0.319937636,0.852267573,0.094289036,0.408622126,0.412764219,0.564659705,0.295887783,0.119473565,0.319937636,0.852267573,0.408622126,0.412764219
